security_id,ticker,exchange,company_name,listing_date,delisting_date,board
T01,000001,SZSE,测试公司一股份有限公司,2019-01-01,,MAIN
T02,000002,SZSE,测试公司二股份有限公司,2019-01-01,,MAIN
T03,000003,SZSE,测试公司三股份有限公司,2019-01-01,,MAIN
T04,000004,SZSE,测试公司四股份有限公司,2019-01-01,,MAIN
T05,000005,SZSE,测试公司五股份有限公司,2019-01-01,,MAIN
T06,000006,SZSE,测试公司六股份有限公司,2019-01-01,,MAIN
T07,600001,SSE,测试公司七股份有限公司,2019-01-01,,MAIN
T08,600002,SSE,测试公司八股份有限公司,2019-01-01,,MAIN
T09,600003,SSE,测试公司九股份有限公司,2019-01-01,,MAIN
T10,600004,SSE,测试公司十股份有限公司,2019-01-01,,MAIN
T11,600005,SSE,测试公司十一股份有限公司,2019-01-01,,MAIN
T12,600006,SSE,测试公司十二股份有限公司,2020-05-21,,MAIN
