security_id,out_degree,in_degree,total_degree
SSE:600018,1,0,1
SSE:600028,2,1,3
SSE:600050,2,3,5
SSE:600098,1,0,1
SSE:600121,1,0,1
SSE:600143,2,2,4
SSE:600150,1,1,2
SSE:600170,1,1,2
SSE:600188,1,2,3
SSE:600219,1,0,1
SSE:600232,1,0,1
SSE:600248,1,0,1
SSE:600271,2,1,3
SSE:600273,1,0,1
SSE:600288,2,0,2
SSE:600348,1,1,2
SSE:600362,1,1,2
SSE:600418,1,2,3
SSE:600446,1,0,1
SSE:600462,1,0,1
SSE:600491,2,0,2
SSE:600515,1,0,1
SSE:600549,1,1,2
SSE:600566,1,0,1
SSE:600569,3,1,4
SSE:600577,2,0,2
SSE:600635,1,0,1
SSE:600754,2,0,2
SSE:600755,1,3,4
SSE:600776,1,0,1
SSE:600801,1,0,1
SSE:600832,1,0,1
SSE:600871,1,0,1
SSE:600875,3,0,3
SSE:600888,4,0,4
SSE:600997,2,0,2
SSE:601001,1,0,1
SSE:601002,1,0,1
SSE:601005,1,1,2
SSE:601006,1,0,1
SSE:601177,1,0,1
SSE:601186,1,3,4
SSE:601226,3,1,4
SSE:601600,1,1,2
SSE:601607,1,5,6
SSE:601668,1,1,2
SSE:601727,3,1,4
SSE:601728,1,4,5
SSE:601766,1,2,3
SSE:601899,1,1,2
SSE:601988,1,8,9
SSE:603081,1,0,1
SSE:603320,1,1,2
SSE:603322,1,0,1
SSE:603713,1,1,2
SSE:603768,1,2,3
SSE:603906,1,0,1
SSE:603990,1,0,1
SSE:605100,1,1,2
SSE:688083,1,0,1
SSE:688171,1,0,1
SSE:688321,1,0,1
SSE:688329,2,0,2
SSE:688336,2,0,2
SSE:688357,1,0,1
SSE:688366,2,0,2
SSE:688408,1,0,1
SSE:688425,1,2,3
SSE:688553,3,0,3
SSE:688799,1,0,1
SZSE:000006,1,1,2
SZSE:000010,1,0,1
SZSE:000026,1,0,1
SZSE:000030,1,1,2
SZSE:000061,1,0,1
SZSE:000066,4,0,4
SZSE:000089,1,0,1
SZSE:000155,1,0,1
SZSE:000158,1,0,1
SZSE:000338,5,1,6
SZSE:000400,1,0,1
SZSE:000404,1,1,2
SZSE:000407,1,0,1
SZSE:000408,1,0,1
SZSE:000409,1,0,1
SZSE:000410,1,0,1
SZSE:000420,1,1,2
SZSE:000488,3,0,3
SZSE:000507,1,0,1
SZSE:000518,1,0,1
SZSE:000520,1,0,1
SZSE:000538,3,0,3
SZSE:000559,2,1,3
SZSE:000581,1,0,1
SZSE:000597,2,0,2
SZSE:000622,1,0,1
SZSE:000626,1,1,2
SZSE:000629,1,1,2
SZSE:000630,1,0,1
SZSE:000657,1,1,2
SZSE:000668,1,0,1
SZSE:000678,1,0,1
SZSE:000683,2,0,2
SZSE:000688,1,0,1
SZSE:000708,5,0,5
SZSE:000709,3,7,10
SZSE:000710,1,0,1
SZSE:000723,2,1,3
SZSE:000748,1,1,2
SZSE:000751,2,0,2
