security_id,is_supplier_node,is_customer_node,node_role,supplier_out_degree,customer_in_degree
SSE:600000,False,True,customer,0,1
SSE:600006,False,True,customer,0,2
SSE:600009,False,True,customer,0,1
SSE:600015,False,True,customer,0,4
SSE:600018,True,False,supplier,1,0
SSE:600028,True,True,both,2,1
SSE:600030,False,True,customer,0,1
SSE:600036,False,True,customer,0,1
SSE:600050,True,True,both,2,3
SSE:600056,False,True,customer,0,1
SSE:600098,True,False,supplier,1,0
SSE:600121,True,False,supplier,1,0
SSE:600132,False,True,customer,0,1
SSE:600143,True,True,both,2,2
SSE:600150,True,True,both,1,1
SSE:600157,False,True,customer,0,3
SSE:600162,False,True,customer,0,1
SSE:600170,True,True,both,1,1
SSE:600188,True,True,both,1,2
SSE:600219,True,False,supplier,1,0
SSE:600221,False,True,customer,0,2
SSE:600232,True,False,supplier,1,0
SSE:600248,True,False,supplier,1,0
SSE:600271,True,True,both,2,1
SSE:600273,True,False,supplier,1,0
SSE:600288,True,False,supplier,2,0
SSE:600309,False,True,customer,0,3
SSE:600338,False,True,customer,0,1
SSE:600348,True,True,both,1,1
SSE:600351,False,True,customer,0,1
SSE:600361,False,True,customer,0,1
SSE:600362,True,True,both,1,1
SSE:600408,False,True,customer,0,1
SSE:600418,True,True,both,1,2
SSE:600446,True,False,supplier,1,0
SSE:600462,True,False,supplier,1,0
SSE:600491,True,False,supplier,2,0
SSE:600503,False,True,customer,0,1
SSE:600515,True,False,supplier,1,0
SSE:600518,False,True,customer,0,1
SSE:600549,True,True,both,1,1
SSE:600552,False,True,customer,0,1
SSE:600562,False,True,customer,0,1
SSE:600566,True,False,supplier,1,0
SSE:600569,True,True,both,3,1
SSE:600577,True,False,supplier,2,0
SSE:600585,False,True,customer,0,1
SSE:600597,False,True,customer,0,1
SSE:600600,False,True,customer,0,1
SSE:600606,False,True,customer,0,1
SSE:600635,True,False,supplier,1,0
SSE:600642,False,True,customer,0,1
SSE:600685,False,True,customer,0,1
SSE:600691,False,True,customer,0,1
SSE:600711,False,True,customer,0,1
SSE:600713,False,True,customer,0,3
SSE:600740,False,True,customer,0,1
SSE:600754,True,False,supplier,2,0
SSE:600755,True,True,both,1,3
SSE:600756,False,True,customer,0,1
SSE:600761,False,True,customer,0,1
SSE:600776,True,False,supplier,1,0
SSE:600801,True,False,supplier,1,0
SSE:600832,True,False,supplier,1,0
SSE:600851,False,True,customer,0,1
SSE:600871,True,False,supplier,1,0
SSE:600875,True,False,supplier,3,0
SSE:600886,False,True,customer,0,3
SSE:600888,True,False,supplier,4,0
SSE:600905,False,True,customer,0,1
SSE:600941,False,True,customer,0,2
SSE:600958,False,True,customer,0,1
SSE:600997,True,False,supplier,2,0
SSE:600999,False,True,customer,0,1
SSE:601000,False,True,customer,0,2
SSE:601001,True,False,supplier,1,0
SSE:601002,True,False,supplier,1,0
SSE:601005,True,True,both,1,1
SSE:601006,True,False,supplier,1,0
SSE:601155,False,True,customer,0,1
SSE:601166,False,True,customer,0,2
SSE:601169,False,True,customer,0,1
SSE:601177,True,False,supplier,1,0
SSE:601179,False,True,customer,0,1
SSE:601186,True,True,both,1,3
SSE:601212,False,True,customer,0,1
SSE:601226,True,True,both,3,1
SSE:601229,False,True,customer,0,1
SSE:601328,False,True,customer,0,5
SSE:601390,False,True,customer,0,3
SSE:601600,True,True,both,1,1
SSE:601607,True,True,both,1,5
SSE:601633,False,True,customer,0,4
SSE:601666,False,True,customer,0,1
SSE:601668,True,True,both,1,1
SSE:601727,True,True,both,3,1
SSE:601728,True,True,both,1,4
SSE:601766,True,True,both,1,2
SSE:601818,False,True,customer,0,2
SSE:601857,False,True,customer,0,1
SSE:601886,False,True,customer,0,1
SSE:601899,True,True,both,1,1
SSE:601929,False,True,customer,0,1
SSE:601933,False,True,customer,0,1
SSE:601988,True,True,both,1,8
SSE:601998,False,True,customer,0,5
SSE:603081,True,False,supplier,1,0
SSE:603195,False,True,customer,0,1
SSE:603221,False,True,customer,0,1
SSE:603279,False,True,customer,0,1
SSE:603320,True,True,both,1,1
SSE:603322,True,False,supplier,1,0
SSE:603329,False,True,customer,0,1
SSE:603713,True,True,both,1,1
SSE:603768,True,True,both,1,2
SSE:603906,True,False,supplier,1,0
SSE:603988,False,True,customer,0,1
SSE:603990,True,False,supplier,1,0
SSE:603998,False,True,customer,0,1
SSE:605100,True,True,both,1,1
SSE:605208,False,True,customer,0,1
SSE:688083,True,False,supplier,1,0
SSE:688086,False,True,customer,0,1
SSE:688171,True,False,supplier,1,0
SSE:688321,True,False,supplier,1,0
SSE:688329,True,False,supplier,2,0
SSE:688336,True,False,supplier,2,0
SSE:688357,True,False,supplier,1,0
SSE:688366,True,False,supplier,2,0
SSE:688408,True,False,supplier,1,0
SSE:688425,True,True,both,1,2
SSE:688517,False,True,customer,0,1
SSE:688553,True,False,supplier,3,0
SSE:688569,False,True,customer,0,1
SSE:688799,True,False,supplier,1,0
SZSE:000001,False,True,customer,0,2
SZSE:000002,False,True,customer,0,2
SZSE:000006,True,True,both,1,1
SZSE:000010,True,False,supplier,1,0
SZSE:000011,False,True,customer,0,3
SZSE:000026,True,False,supplier,1,0
SZSE:000030,True,True,both,1,1
SZSE:000039,False,True,customer,0,3
SZSE:000061,True,False,supplier,1,0
SZSE:000063,False,True,customer,0,3
SZSE:000066,True,False,supplier,4,0
SZSE:000069,False,True,customer,0,1
SZSE:000089,True,False,supplier,1,0
SZSE:000155,True,False,supplier,1,0
SZSE:000157,False,True,customer,0,1
SZSE:000158,True,False,supplier,1,0
SZSE:000333,False,True,customer,0,1
SZSE:000338,True,True,both,5,1
SZSE:000400,True,False,supplier,1,0
SZSE:000404,True,True,both,1,1
SZSE:000407,True,False,supplier,1,0
SZSE:000408,True,False,supplier,1,0
SZSE:000409,True,False,supplier,1,0
SZSE:000410,True,False,supplier,1,0
SZSE:000417,False,True,customer,0,1
SZSE:000420,True,True,both,1,1
