source_document_id,edge_evidence_rows,unique_directed_edges,supplier_nodes,customer_nodes,first_publication,last_publication,relationship_mentions,explicit_name_mentions,source_provenance_complete
1200544761,,,,,,,10,0,True
1200566737,,,,,,,10,0,True
1200567067,,,,,,,10,10,True
1200581191,,,,,,,10,10,True
1200585366,,,,,,,10,0,True
1200586951,,,,,,,10,5,True
1200591117,,,,,,,9,0,True
1200594610,,,,,,,5,5,True
1200596731,,,,,,,10,0,True
1200596871,,,,,,,10,10,True
1200597738,,,,,,,10,0,True
1200602673,,,,,,,10,0,True
1200604166,,,,,,,10,0,True
1200606472,,,,,,,10,10,True
1200606746,,,,,,,7,0,True
1200612995,,,,,,,10,0,True
1200613059,,,,,,,10,10,True
1200613070,,,,,,,10,0,True
1200613835,,,,,,,5,5,True
1200614237,,,,,,,10,0,True
1200614376,,,,,,,8,8,True
1200615904,,,,,,,10,10,True
1200622264,,,,,,,10,0,True
1200623706,,,,,,,8,8,True
1200624186,,,,,,,10,10,True
1200625594,,,,,,,10,0,True
1200625927,,,,,,,10,0,True
1200626071,,,,,,,10,0,True
1200626287,,,,,,,6,0,True
1200626536,,,,,,,10,10,True
1200629032,,,,,,,10,0,True
1200629074,,,,,,,10,0,True
1200629718,,,,,,,8,8,True
1200630045,,,,,,,10,0,True
1200632313,1.0,1.0,1.0,1.0,2015-02-13 16:00:00+00:00,2015-02-13 16:00:00+00:00,11,11,True
1200632857,,,,,,,5,5,True
1200632964,1.0,1.0,1.0,1.0,2015-02-13 16:00:00+00:00,2015-02-13 16:00:00+00:00,10,10,True
1200633065,,,,,,,10,0,True
1200633232,,,,,,,10,10,True
1200633423,,,,,,,7,0,True
1200633785,,,,,,,10,0,True
1200633910,,,,,,,8,0,True
1200636169,,,,,,,7,7,True
1200636541,,,,,,,10,10,True
1200636592,,,,,,,10,0,True
1200636609,,,,,,,10,0,True
1200636732,,,,,,,6,1,True
1200637226,,,,,,,8,0,True
1200637350,,,,,,,10,0,True
1200637803,,,,,,,10,5,True
1200639156,,,,,,,10,10,True
1200643873,,,,,,,10,0,True
1200643948,,,,,,,10,10,True
1200644044,,,,,,,10,0,True
1200644230,,,,,,,4,0,True
1200644360,,,,,,,10,10,True
1200644411,,,,,,,7,0,True
1200644477,,,,,,,9,0,True
1200644806,,,,,,,10,0,True
1200644991,,,,,,,10,10,True
1200645018,,,,,,,9,8,True
1200645072,,,,,,,10,5,True
1200645158,,,,,,,1,1,True
1200645299,,,,,,,5,5,True
1200645542,,,,,,,5,0,True
1200645895,,,,,,,11,1,True
1200645964,,,,,,,10,10,True
1200646077,,,,,,,5,0,True
1200646196,,,,,,,10,10,True
1200646374,,,,,,,5,5,True
1200646981,,,,,,,10,0,True
1200653699,,,,,,,10,0,True
1200653974,,,,,,,10,10,True
1200655882,,,,,,,10,3,True
1200656207,,,,,,,10,0,True
1200656309,,,,,,,10,0,True
1200656799,,,,,,,10,10,True
1200657068,,,,,,,6,6,True
1200657200,,,,,,,10,0,True
1200657371,,,,,,,6,6,True
1200657795,,,,,,,7,7,True
1200657902,,,,,,,10,0,True
1200660489,,,,,,,5,5,True
1200661795,,,,,,,10,0,True
1200661842,,,,,,,10,0,True
1200662592,,,,,,,15,0,True
1200663748,,,,,,,10,0,True
1200665838,,,,,,,10,0,True
1200666337,,,,,,,10,0,True
1200667101,,,,,,,5,0,True
1200667250,,,,,,,1,1,True
1200667852,,,,,,,10,10,True
1200669306,,,,,,,8,8,True
1200670053,,,,,,,10,0,True
1200671011,,,,,,,10,10,True
1200672708,,,,,,,6,6,True
1200672803,,,,,,,10,0,True
1200673007,,,,,,,10,5,True
1200673092,,,,,,,3,3,True
1200673237,,,,,,,10,0,True
1200673325,,,,,,,1,1,True
1200673511,,,,,,,5,5,True
1200673815,,,,,,,1,1,True
1200675873,,,,,,,7,0,True
1200675888,,,,,,,8,8,True
1200676161,,,,,,,2,2,True
1200676211,,,,,,,10,10,True
1200676355,,,,,,,5,5,True
1200676488,,,,,,,10,10,True
1200676857,1.0,1.0,1.0,1.0,2015-03-07 16:00:00+00:00,2015-03-07 16:00:00+00:00,10,10,True
1200676899,,,,,,,10,0,True
1200677027,,,,,,,5,5,True
1200677238,,,,,,,5,5,True
1200682312,,,,,,,10,0,True
1200682342,,,,,,,4,4,True
1200682354,,,,,,,10,0,True
1200682390,,,,,,,1,1,True
1200682508,,,,,,,10,10,True
1200682648,,,,,,,3,3,True
1200682758,,,,,,,6,0,True
1200682787,,,,,,,7,0,True
1200682838,,,,,,,4,4,True
1200683009,,,,,,,10,5,True
1200683064,,,,,,,1,1,True
1200683145,,,,,,,7,2,True
1200683479,,,,,,,10,10,True
1200683591,,,,,,,7,0,True
1200683691,,,,,,,5,0,True
1200683785,1.0,1.0,1.0,1.0,2015-03-10 16:00:00+00:00,2015-03-10 16:00:00+00:00,7,7,True
1200683830,,,,,,,6,0,True
1200683925,,,,,,,8,0,True
1200683965,,,,,,,5,0,True
1200684100,,,,,,,10,0,True
1200684221,,,,,,,9,9,True
1200684265,,,,,,,10,0,True
1200684303,,,,,,,10,0,True
1200684343,,,,,,,1,1,True
1200684438,,,,,,,5,0,True
1200685441,,,,,,,10,10,True
1200686759,,,,,,,8,0,True
1200687101,,,,,,,10,0,True
1200687333,,,,,,,10,0,True
1200687348,,,,,,,5,5,True
1200687447,,,,,,,10,10,True
1200687544,,,,,,,10,0,True
1200687580,,,,,,,10,10,True
1200687674,,,,,,,5,1,True
1200687761,,,,,,,10,0,True
1200688065,,,,,,,10,10,True
1200688415,,,,,,,5,5,True
1200690437,,,,,,,10,10,True
1200691047,,,,,,,1,1,True
1200691081,,,,,,,10,0,True
1200691123,,,,,,,5,5,True
1200691420,,,,,,,10,0,True
1200691459,,,,,,,10,0,True
1200691538,,,,,,,6,0,True
1200691567,,,,,,,10,10,True
1200691589,,,,,,,5,5,True
1200691628,,,,,,,10,0,True
1200691663,,,,,,,10,0,True
1200691998,,,,,,,10,0,True
1200692495,,,,,,,5,0,True
1200694216,,,,,,,10,5,True
1200694251,,,,,,,5,5,True
1200694285,,,,,,,10,10,True
1200694346,,,,,,,5,5,True
1200694400,,,,,,,6,0,True
1200694449,,,,,,,10,10,True
1200695344,,,,,,,10,10,True
1200695390,,,,,,,9,9,True
1200695450,,,,,,,10,0,True
1200695479,,,,,,,3,3,True
1200695562,,,,,,,10,0,True
1200697654,,,,,,,10,0,True
1200697690,,,,,,,10,0,True
1200697846,,,,,,,10,0,True
1200698170,,,,,,,10,0,True
1200698264,,,,,,,10,0,True
1200698382,,,,,,,10,0,True
1200698656,,,,,,,10,10,True
1200698660,,,,,,,10,0,True
1200698701,,,,,,,6,0,True
1200698828,,,,,,,10,0,True
1200698942,,,,,,,10,0,True
1200699003,,,,,,,9,5,True
1200699316,,,,,,,3,3,True
1200699577,,,,,,,10,10,True
1200699869,,,,,,,10,0,True
1200700401,,,,,,,5,0,True
1200703034,,,,,,,7,7,True
1200703058,,,,,,,10,0,True
1200703067,,,,,,,1,1,True
1200703084,,,,,,,4,4,True
1200703257,,,,,,,10,0,True
1200704883,,,,,,,8,1,True
1200704907,,,,,,,10,0,True
1200704940,,,,,,,7,0,True
1200705029,,,,,,,10,0,True
1200705073,,,,,,,8,8,True
1200705201,,,,,,,10,0,True
1200705218,,,,,,,10,5,True
1200705268,,,,,,,10,10,True
1200705330,,,,,,,8,8,True
1200705399,,,,,,,10,0,True
1200705479,,,,,,,6,0,True
1200705504,,,,,,,10,0,True
1200705822,,,,,,,7,7,True
1200705862,,,,,,,10,0,True
1200706113,,,,,,,5,5,True
1200706274,,,,,,,10,0,True
1200706431,,,,,,,7,1,True
1200706461,,,,,,,10,0,True
1200706499,,,,,,,10,10,True
1200706569,,,,,,,10,0,True
1200706614,,,,,,,10,0,True
1200706956,,,,,,,15,15,True
1200709461,,,,,,,10,0,True
1200709483,,,,,,,8,8,True
1200709674,,,,,,,1,1,True
1200709893,,,,,,,6,1,True
1200709950,,,,,,,1,1,True
1200710112,,,,,,,9,0,True
1200710138,,,,,,,10,0,True
1200710272,,,,,,,10,10,True
1200710279,,,,,,,6,0,True
1200710406,,,,,,,10,0,True
1200710457,,,,,,,6,6,True
1200710552,,,,,,,10,0,True
1200710628,,,,,,,10,10,True
1200710671,,,,,,,10,0,True
1200710766,,,,,,,2,2,True
1200710847,,,,,,,9,0,True
1200710865,,,,,,,10,0,True
1200711054,,,,,,,10,0,True
1200711153,,,,,,,5,0,True
1200713727,,,,,,,10,0,True
1200713874,,,,,,,10,10,True
1200714220,,,,,,,10,0,True
1200714372,,,,,,,4,4,True
1200714643,,,,,,,10,0,True
1200714650,,,,,,,1,1,True
1200714791,,,,,,,10,0,True
1200714999,,,,,,,1,1,True
1200715089,,,,,,,10,0,True
1200715733,,,,,,,10,10,True
1200715876,,,,,,,5,0,True
1200717594,,,,,,,6,1,True
1200717621,,,,,,,10,0,True
1200717725,,,,,,,10,10,True
1200717877,,,,,,,10,0,True
1200717898,,,,,,,10,0,True
1200717959,,,,,,,7,0,True
1200717986,,,,,,,8,8,True
1200718068,,,,,,,10,0,True
1200718126,,,,,,,10,0,True
1200718154,,,,,,,1,1,True
1200718359,,,,,,,4,4,True
1200718368,,,,,,,3,3,True
1200718706,,,,,,,10,0,True
1200718731,,,,,,,15,5,True
1200718798,,,,,,,10,10,True
1200718818,,,,,,,20,15,True
1200718850,,,,,,,10,5,True
1200718869,,,,,,,7,0,True
1200718955,,,,,,,12,12,True
1200718974,,,,,,,6,6,True
1200719045,,,,,,,7,5,True
1200719065,,,,,,,10,0,True
1200719125,,,,,,,10,0,True
1200719229,,,,,,,2,0,True
1200719412,,,,,,,6,1,True
1200719445,,,,,,,10,0,True
1200719475,,,,,,,10,0,True
1200719509,,,,,,,6,6,True
1200719783,,,,,,,1,1,True
1200719836,,,,,,,5,0,True
1200719880,,,,,,,10,0,True
1200719928,,,,,,,1,1,True
1200719958,,,,,,,10,0,True
1200720047,,,,,,,10,10,True
1200720080,,,,,,,6,5,True
1200720110,,,,,,,10,10,True
1200720236,,,,,,,4,0,True
1200720284,1.0,1.0,1.0,1.0,2015-03-20 16:00:00+00:00,2015-03-20 16:00:00+00:00,10,5,True
1200722400,,,,,,,10,0,True
1200722658,,,,,,,10,0,True
1200722697,,,,,,,10,10,True
1200722738,,,,,,,5,5,True
1200722768,,,,,,,10,0,True
1200722913,,,,,,,10,0,True
1200723032,,,,,,,10,10,True
1200723136,,,,,,,10,10,True
1200723190,,,,,,,10,5,True
1200723228,,,,,,,9,0,True
1200723250,,,,,,,6,6,True
1200723424,,,,,,,10,0,True
1200723515,,,,,,,10,0,True
1200723604,,,,,,,10,10,True
1200723635,,,,,,,10,5,True
1200723668,,,,,,,10,0,True
1200723737,,,,,,,6,6,True
1200723842,,,,,,,10,10,True
1200723984,,,,,,,10,0,True
1200724151,,,,,,,10,10,True
1200724239,,,,,,,9,9,True
1200724489,,,,,,,6,6,True
1200724516,,,,,,,5,5,True
1200724591,,,,,,,7,7,True
1200724915,,,,,,,5,0,True
1200725016,,,,,,,5,5,True
1200725115,,,,,,,5,0,True
1200725743,,,,,,,10,0,True
1200730472,,,,,,,8,8,True
1200730486,,,,,,,10,10,True
1200730512,1.0,1.0,1.0,1.0,2015-03-24 16:00:00+00:00,2015-03-24 16:00:00+00:00,8,8,True
1200730538,,,,,,,10,0,True
1200730694,,,,,,,10,10,True
1200730736,,,,,,,9,0,True
1200730795,,,,,,,10,10,True
1200730857,,,,,,,10,10,True
1200730946,,,,,,,1,1,True
1200730982,,,,,,,10,0,True
1200730999,,,,,,,1,1,True
1200731107,,,,,,,5,5,True
1200731277,,,,,,,10,10,True
1200731354,,,,,,,10,0,True
1200731380,,,,,,,10,5,True
1200731481,,,,,,,10,0,True
1200731596,,,,,,,10,0,True
1200731671,,,,,,,10,0,True
1200731817,,,,,,,8,0,True
1200732060,,,,,,,7,7,True
1200732079,,,,,,,10,0,True
1200732260,,,,,,,10,0,True
1200732316,,,,,,,10,1,True
1200732413,,,,,,,5,0,True
1200732449,,,,,,,10,10,True
1200732571,1.0,1.0,1.0,1.0,2015-03-24 16:00:00+00:00,2015-03-24 16:00:00+00:00,12,12,True
1200732594,,,,,,,9,0,True
1200732622,,,,,,,10,10,True
1200732687,,,,,,,10,0,True
1200732708,,,,,,,10,0,True
1200732964,,,,,,,10,0,True
1200732989,,,,,,,13,13,True
1200733042,,,,,,,10,5,True
1200733083,,,,,,,10,0,True
1200733162,,,,,,,5,5,True
1200733209,,,,,,,10,1,True
1200733264,,,,,,,7,0,True
1200733288,,,,,,,10,0,True
1200733361,,,,,,,5,0,True
1200734179,,,,,,,6,0,True
1200735562,,,,,,,10,0,True
1200735929,,,,,,,10,0,True
1200736032,,,,,,,6,6,True
1200736072,,,,,,,8,0,True
1200736090,,,,,,,7,7,True
1200736110,,,,,,,10,0,True
1200736157,,,,,,,9,5,True
1200736190,,,,,,,10,10,True
1200736262,,,,,,,10,0,True
1200736408,,,,,,,11,1,True
1200736491,1.0,1.0,1.0,1.0,2015-03-25 16:00:00+00:00,2015-03-25 16:00:00+00:00,10,10,True
1200736643,,,,,,,11,11,True
1200736817,,,,,,,6,1,True
1200736899,,,,,,,10,0,True
1200736975,,,,,,,8,8,True
1200737011,,,,,,,10,0,True
1200737111,,,,,,,10,0,True
1200737143,1.0,1.0,1.0,1.0,2015-03-25 16:00:00+00:00,2015-03-25 16:00:00+00:00,10,10,True
1200737156,,,,,,,10,0,True
1200737276,,,,,,,10,0,True
1200737327,,,,,,,6,0,True
1200737367,,,,,,,1,1,True
1200737391,,,,,,,5,5,True
1200737522,,,,,,,9,0,True
1200737745,,,,,,,2,0,True
1200737849,,,,,,,10,10,True
1200737892,,,,,,,5,5,True
1200738090,,,,,,,10,0,True
1200738146,1.0,1.0,1.0,1.0,2015-03-25 16:00:00+00:00,2015-03-25 16:00:00+00:00,10,10,True
1200738245,,,,,,,10,10,True
1200738268,,,,,,,5,5,True
1200740537,,,,,,,10,0,True
1200740597,,,,,,,6,0,True
1200740633,,,,,,,10,0,True
1200740736,,,,,,,10,0,True
1200740854,,,,,,,10,0,True
1200741096,,,,,,,10,0,True
1200741247,,,,,,,10,10,True
1200741369,,,,,,,5,0,True
1200741440,,,,,,,7,2,True
1200741459,,,,,,,10,0,True
1200741490,,,,,,,5,5,True
