supplier_id,customer_id,effective_start,effective_end,source_document_id,source_period_end,source_company_id,relationship_confidence,economic_weight,weight_source,publication_datetime
SSE:600018,SSE:603713,2019-03-22 16:00:00+00:00,2020-09-22 16:00:00+00:00,1205925391,2018-12-31,SSE:603713,1.0,1.0,equal,2019-03-22 16:00:00+00:00
SSE:600018,SSE:603713,2020-04-02 16:00:00+00:00,2021-10-04 16:00:00+00:00,1207448233,2019-12-31,SSE:603713,1.0,1.0,equal,2020-04-02 16:00:00+00:00
SSE:600018,SSE:603713,2021-03-31 16:00:00+00:00,2022-10-02 16:00:00+00:00,1209496359,2020-12-31,SSE:603713,1.0,1.0,equal,2021-03-31 16:00:00+00:00
SSE:600028,SSE:603329,2022-04-28 16:00:00+00:00,2023-10-30 16:00:00+00:00,1213160098,2021-12-31,SSE:603329,1.0,1.0,equal,2022-04-28 16:00:00+00:00
SSE:600028,SZSE:000626,2018-04-28 16:00:00+00:00,2019-10-30 16:00:00+00:00,1204825263,2017-12-31,SZSE:000626,1.0,1.0,equal,2018-04-28 16:00:00+00:00
SSE:600028,SZSE:000626,2019-03-21 16:00:00+00:00,2020-09-21 16:00:00+00:00,1205920527,2018-12-31,SZSE:000626,1.0,1.0,equal,2019-03-21 16:00:00+00:00
SSE:600028,SZSE:000626,2020-04-24 16:00:00+00:00,2021-10-26 16:00:00+00:00,1207583747,2019-12-31,SZSE:000626,1.0,1.0,equal,2020-04-24 16:00:00+00:00
SSE:600028,SZSE:000626,2021-04-24 16:00:00+00:00,2022-10-26 16:00:00+00:00,1209787910,2020-12-31,SZSE:000626,1.0,1.0,equal,2021-04-24 16:00:00+00:00
SSE:600050,SZSE:002238,2017-03-30 16:00:00+00:00,2018-10-01 16:00:00+00:00,1203224276,2016-12-31,SZSE:002238,1.0,1.0,equal,2017-03-30 16:00:00+00:00
SSE:600050,SZSE:300578,2017-05-19 08:17:27+00:00,2018-11-20 08:17:27+00:00,1203543546,2016-12-31,SZSE:300578,1.0,1.0,equal,2017-05-19 08:17:27+00:00
SSE:600098,SSE:600755,2020-04-18 16:00:00+00:00,2021-10-20 16:00:00+00:00,1207527863,2019-12-31,SSE:600098,1.0,1.0,equal,2020-04-18 16:00:00+00:00
SSE:600121,SSE:600157,2016-04-28 16:00:00+00:00,2017-10-30 16:00:00+00:00,1202260161,2015-12-31,SSE:600157,1.0,1.0,equal,2016-04-28 16:00:00+00:00
SSE:600121,SSE:600157,2017-04-28 16:00:00+00:00,2018-10-30 16:00:00+00:00,1203417502,2016-12-31,SSE:600157,1.0,1.0,equal,2017-04-28 16:00:00+00:00
SSE:600121,SSE:600157,2018-04-28 16:00:00+00:00,2019-10-30 16:00:00+00:00,1204832245,2017-12-31,SSE:600157,1.0,1.0,equal,2018-04-28 16:00:00+00:00
SSE:600121,SSE:600157,2020-04-29 16:00:00+00:00,2021-10-31 16:00:00+00:00,1207667773,2019-12-31,SSE:600157,1.0,1.0,equal,2020-04-29 16:00:00+00:00
SSE:600121,SSE:600157,2021-04-16 16:00:00+00:00,2022-10-18 16:00:00+00:00,1209702187,2020-12-31,SSE:600157,1.0,1.0,equal,2021-04-16 16:00:00+00:00
SSE:600143,SZSE:002260,2016-06-03 16:00:00+00:00,2017-12-05 16:00:00+00:00,1202353728,2015-12-31,SZSE:002260,1.0,1.0,equal,2016-06-03 16:00:00+00:00
SSE:600143,SZSE:300100,2022-04-19 16:00:00+00:00,2023-10-21 16:00:00+00:00,1212961690,2021-12-31,SZSE:300100,1.0,1.0,equal,2022-04-19 16:00:00+00:00
SSE:600150,SZSE:300527,2020-04-29 16:00:00+00:00,2021-10-31 16:00:00+00:00,1207655904,2019-12-31,SZSE:300527,1.0,1.0,equal,2020-04-29 16:00:00+00:00
SSE:600150,SZSE:300527,2021-04-27 16:00:00+00:00,2022-10-29 16:00:00+00:00,1209813024,2020-12-31,SZSE:300527,1.0,1.0,equal,2021-04-27 16:00:00+00:00
SSE:600150,SZSE:300527,2022-04-27 16:00:00+00:00,2023-10-29 16:00:00+00:00,1213144839,2021-12-31,SZSE:300527,1.0,1.0,equal,2022-04-27 16:00:00+00:00
SSE:600150,SZSE:300527,2022-04-28 16:00:00+00:00,2023-10-30 16:00:00+00:00,1213161153,2021-12-31,SZSE:300527,1.0,1.0,equal,2022-04-28 16:00:00+00:00
SSE:600170,SSE:600009,2017-03-25 16:00:00+00:00,2018-09-26 16:00:00+00:00,1203193813,2016-12-31,SSE:600170,1.0,1.0,equal,2017-03-25 16:00:00+00:00
SSE:600170,SSE:600009,2018-03-28 16:00:00+00:00,2019-09-29 16:00:00+00:00,1204523169,2017-12-31,SSE:600170,1.0,1.0,equal,2018-03-28 16:00:00+00:00
SSE:600170,SSE:600009,2019-03-29 16:00:00+00:00,2020-09-29 16:00:00+00:00,1205956330,2018-12-31,SSE:600170,1.0,1.0,equal,2019-03-29 16:00:00+00:00
SSE:600170,SSE:600009,2022-04-18 16:00:00+00:00,2023-10-20 16:00:00+00:00,1212951435,2021-12-31,SSE:600170,1.0,1.0,equal,2022-04-18 16:00:00+00:00
SSE:600188,SZSE:000778,2019-04-02 16:00:00+00:00,2020-10-03 16:00:00+00:00,1205983333,2018-12-31,SZSE:000778,1.0,1.0,equal,2019-04-02 16:00:00+00:00
SSE:600219,SZSE:300057,2021-04-10 16:00:00+00:00,2022-10-12 16:00:00+00:00,1209666588,2020-12-31,SZSE:300057,1.0,1.0,equal,2021-04-10 16:00:00+00:00
